ecriture;vague;episode_first;episode_last;cb;diffusion_2019;day_first;day_last;date_de_tournage;arche_a;arche_b;arche_c;arche_d;evenements
04/12/2018;3766-3770;3766;3770;;1 au 5/04;01/04/2019;05/04/2019;;Les Belesta et les Nebout dans la tourmente;Luna fait sa révolution;Le nouveau destin de Samia;;Vacances de printemps du 6 au 23 avril
11/12/2018;3771-3775;3771;3775;;08 au 12/04;08/04/2019;12/04/2019;"18 au 22 fev 
 3771-3780";Les Belesta et les Nebout dans la tourmente;Luna fait sa révolution;Le nouveau destin de Samia;;
18/12/2018;3776-3780;3776;3780;;15 au 19/04;15/04/2019;19/04/2019;"25 fev > 1 mars
 3771-3780";Les Belesta et les Nebout dans la tourmente;Le retour de Delphine Bommel;Le nouveau destin de Samia;La mémoire dans la peau;
25/12/2018;3781-3785;3781;3785;;22 au 26/04;22/04/2019;26/04/2019;"4 au 8 mars 
 3781-3790";Les Belesta et les Nebout dans la tourmente;Le retour de Delphine Bommel;Le nouveau destin de Samia;La mémoire dans la peau;
01/01/2019;3786-3790;3786;3790;;29/04 au 3/05;29/04/2019;03/05/2019;"11 au 15 mars
 3781-3790";Les Belesta et les Nebout dans la tourmente;Le retour de Delphine Bommel;Le nouveau destin de Samia;La mémoire dans la peau;
08/01/2019;3791-3795;3791;3795;;6 au 10/05;06/05/2019;10/05/2019;"18 au 22 mars 
 3791-3800";Le mariage de Baptiste et Emma;Les Belesta et les Nebout dans la tourmente;Le retour de Delphine Bommel;La mémoire dans la peau;
15/01/2019;3796-3800;3796;3800;;13 au 17/05;13/05/2019;17/05/2019;"25 au 29 mars 
 3791-3800";Le mariage de Baptiste et Emma;Les Belesta et les Nebout dans la tourmente;Le retour de Delphine Bommel;La mémoire dans la peau;
22/01/2019;3801-3805;3801;3805;;20 au 24/05;20/05/2019;24/05/2019;"1 au 5 avril 
 3801-3810";Le mariage de Baptiste et Emma;Révolte à Scotto / Fusion retour de Delphine Bommel;Nathan et Aurélie - Jeux dangereux;La mémoire dans la peau;Elections Européennes 23 mai
29/01/2019;3806-3810;3806;3810;;27 au 31/05;27/05/2019;31/05/2019;"8 au 12 avril 
 3801-3810";Le mariage de Baptiste et Emma;Révolte à Scotto / Fusion retour de Delphine Bommel;Nathan et Aurélie - Jeux dangereux;La mémoire dans la peau;fete des mères 26/05
05/02/2019;3811-3815;3811;3815;;3 au 7/06;03/06/2019;07/06/2019;"15 au 19 avril 
 3811-3820";Le mariage de Baptiste et Emma;Révolte à Scotto;Nathan et Aurélie - Jeux dangereux;La mémoire dans la peau / fusion Le kop des Mistraliennes;
12/02/2019;3816-3820;3816;3820;;10 au 14/06;10/06/2019;14/06/2019;"22 au 26 avril 
 3811-3820";Le mariage de Baptiste et Emma;Révolte à Scotto;Nathan et Aurélie - Jeux dangereux;Le kop des Mistraliennes;fetes des peres dimanche 16 juin
19/02/2019;3821-3825;3821;3825;;17 au 21/06;17/06/2019;21/06/2019;"29 avril au 3 mai
 3821-3830";Le mariage de Baptiste et Emma;Révolte à Scotto;Nathan et Aurélie - Jeux dangereux;Le kop des Mistraliennes fusion / Barbara et la tentation de l'alcool;17 juin Bac Francais/ 19 juin épreuves de science
26/02/2019;3826-3830;3826;3830;;24 au 28/06;24/06/2019;28/06/2019;"6 au 10 mai
 3821-3830";Le mariage de Baptiste et Emma;Révolte à Scotto;Eric héros de Blanche;Pré A Pour sauver Luna;
