;date;no_episode;pdm;pdm_moy_semaine;no_semaine;no_jour;audience;telespectateurs;telespectateurs_moy_semaine;day_first;day_last;evenements;a - Le mariage de Baptiste et Emma;a - Les Belesta et les Nebout dans la tourmente;b - Le retour de Delphine Bommel;b - Les Belesta et les Nebout dans la tourmente;b - Luna fait sa révolution;b - Révolte à Scotto;b - Révolte à Scotto / Fusion retour de Delphine Bommel;c - Eric héros de Blanche;c - Le nouveau destin de Samia;c - Le retour de Delphine Bommel;c - Nathan et Aurélie - Jeux dangereux;d - ;d - La mémoire dans la peau;d - La mémoire dans la peau / fusion Le kop des Mistraliennes;d - Le kop des Mistraliennes;d - Le kop des Mistraliennes fusion / Barbara et la tentation de l'alcool;d - Pré A Pour sauver Luna;pdm_trend;pdm_seasonal;pdm_random
1;01/04/2019;3766;14.5;14.7;14;1;5.9;3 443 476;3 373 439;01/04/2019;05/04/2019;Vacances de printemps du 6 au 23 avril;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;NA;0.983469389671787;NA
2;02/04/2019;3767;15.7;14.7;14;2;6.1;3 560 204;3 373 439;01/04/2019;05/04/2019;Vacances de printemps du 6 au 23 avril;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;NA;1.00379703785982;NA
3;03/04/2019;3768;15.1;14.7;14;3;6.2;3 618 568;3 373 439;01/04/2019;05/04/2019;Vacances de printemps du 6 au 23 avril;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;14.7;0.988166531391452;1.0395119159797
4;04/04/2019;3769;15;14.7;14;4;5.9;3 443 476;3 373 439;01/04/2019;05/04/2019;Vacances de printemps du 6 au 23 avril;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;14.96;1.01125377529782;0.991515504103957
5;05/04/2019;3770;13.2;14.7;14;5;4.8;2 801 472;3 373 439;01/04/2019;05/04/2019;Vacances de printemps du 6 au 23 avril;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;14.84;1.01331326577913;0.877801466396502
6;08/04/2019;3771;15.8;15.2;15;1;6.3;3 676 932;3 408 458;08/04/2019;12/04/2019;;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;14.78;0.983469389671787;1.08698063187967
7;09/04/2019;3772;15.1;15.2;15;2;6;3 501 840;3 408 458;08/04/2019;12/04/2019;;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;14.76;1.00379703785982;1.01916542066462
8;10/04/2019;3773;14.8;15.2;15;3;5.8;3 385 112;3 408 458;08/04/2019;12/04/2019;;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;15.22;0.988166531391452;0.984049448880191
9;11/04/2019;3774;14.9;15.2;15;4;5.7;3 326 748;3 408 458;08/04/2019;12/04/2019;;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;14.3;1.01125377529782;1.03036257308526
10;12/04/2019;3775;15.5;15.2;15;5;5.4;3 151 656;3 408 458;08/04/2019;12/04/2019;;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;14;1.01331326577913;1.09259682521928
