date;no_episode;pdm;moy_semaine;no_semaine;audience;telespectateurs
31/08/2015;2831;19,7;19,2;36,0;8,7;5067663
01/09/2015;2832;19,1;19,2;36,0;8,1;4718169
02/09/2015;2833;19,2;19,2;36,0;8;4659920
03/09/2015;2834;;19,2;36,0;;
04/09/2015;2835;18,8;19,2;36,0;7,5;4368675
07/09/2015;2836;18,5;18,8;37,0;8,1;4718169
08/09/2015;2837;;18,8;37,0;;
09/09/2015;2838;19,2;18,8;37,0;8,1;4718169
10/09/2015;2839;18,6;18,8;37,0;7,8;4543422
11/09/2015;2840;;18,8;37,0;;
14/09/2015;2841;;;38,0;;
15/09/2015;2842;;;38,0;;
16/09/2015;2843;;;38,0;;
17/09/2015;2844;;;38,0;;
18/09/2015;2845;;;38,0;;
21/09/2015;2846;;;39,0;;
22/09/2015;2847;;;39,0;;
23/09/2015;2848;;;39,0;;
24/09/2015;2849;;;39,0;;
25/09/2015;2850;;;39,0;;
28/09/2015;2851;;;40,0;;
29/09/2015;2852;;;40,0;;
30/09/2015;2853;;;40,0;;
01/10/2015;2854;;;40,0;;
02/10/2015;2855;;;40,0;;
05/10/2015;2856;;;41,0;;
06/10/2015;2857;;;41,0;;
07/10/2015;2858;;;41,0;;
08/10/2015;2859;;;41,0;;
09/10/2015;2860;;;41,0;;
12/10/2015;2861;;;42,0;;
13/10/2015;2862;;;42,0;;
14/10/2015;2863;;;42,0;;
15/10/2015;2864;;;42,0;;
16/10/2015;2865;;;42,0;;
19/10/2015;2866;;;43,0;;
20/10/2015;2867;;;43,0;;
21/10/2015;2868;;;43,0;;
22/10/2015;2869;;;43,0;;
23/10/2015;2870;;;43,0;;
26/10/2015;2871;;;44,0;;
27/10/2015;2872;;;44,0;;
28/10/2015;2873;;;44,0;;
29/10/2015;2874;;;44,0;;
30/10/2015;2875;;;44,0;;
02/11/2015;2876;;;45,0;;
03/11/2015;2877;;;45,0;;
04/11/2015;2878;;;45,0;;
05/11/2015;2879;;;45,0;;
06/11/2015;2880;;;45,0;;
09/11/2015;2881;;;46,0;;
10/11/2015;2882;;;46,0;;
11/11/2015;2883;;;46,0;;
12/11/2015;2884;;;46,0;;
13/11/2015;2885;;;46,0;;
16/11/2015;2886;;;47,0;;
17/11/2015;2887;;;47,0;;
18/11/2015;2888;;;47,0;;
19/11/2015;2889;;;47,0;;
20/11/2015;2890;;;47,0;;
23/11/2015;2891;;18,6;48,0;;
24/11/2015;2892;;18,6;48,0;;
25/11/2015;2893;;18,6;48,0;;
26/11/2015;2894;;18,6;48,0;;
27/11/2015;2895;18,6;18,6;48,0;8,2;4776418
30/11/2015;2896;17,9;18,6;49,0;8,6;5009414
01/12/2015;2897;18,6;18,6;49,0;8,6;5009414
02/12/2015;2898;;18,6;49,0;;
03/12/2015;2899;19;18,6;49,0;8,7;5067663
04/12/2015;2900;18,8;18,6;49,0;8;4659920
07/12/2015;2901;17,7;18,5;50,0;8,6;5009414
08/12/2015;2902;18,8;18,5;50,0;8,9;5184161
09/12/2015;2903;19,2;18,5;50,0;8,8;5125912
10/12/2015;2904;18,2;18,5;50,0;8,3;4834667
11/12/2015;2905;;18,5;50,0;;
